code,current,name,name_short,gender,function,country,nationality,nationality_code,height,weight,disciplines,events,birth_date
1947497,True,ANDREWS Abby,ANDREWS A,Female,Athlete,Australia,Australia,AUS,179.0,0.0,['Water Polo'],['Women'],2000-11-28
1947498,True,WILLIAMS Alice,WILLIAMS A,Female,Athlete,Australia,Australia,AUS,175.0,0.0,['Water Polo'],['Women'],1998-12-24
1947503,True,LAMBIE Angus,LAMBIE A,Male,Athlete,Australia,Australia,AUS,196.0,0.0,['Water Polo'],['Men'],1996-06-20
1947504,True,EDWARDS Blake,EDWARDS B,Male,Athlete,Australia,Australia,AUS,186.0,0.0,['Water Polo'],['Men'],1992-02-14
1947506,True,HALLIGAN Bronte,HALLIGAN B,Female,Athlete,Australia,Australia,AUS,176.0,0.0,['Water Polo'],['Women'],1996-08-12
1947507,True,NEGUS Charlie,NEGUS C,Male,Athlete,Australia,Australia,AUS,186.0,0.0,['Water Polo'],['Men'],1999-06-10
1947508,True,ANDREWS Charlize,ANDREWS C,Female,Athlete,Australia,Australia,AUS,175.0,0.0,['Water Polo'],['Women'],2001-12-26
1947509,True,POOT Chaz,POOT C,Male,Athlete,Australia,Australia,AUS,194.0,0.0,['Water Polo'],['Men'],1998-11-20
1947512,True,JACKOVICH Danijela,JACKOVICH D,Female,Athlete,Australia,Australia,AUS,183.0,0.0,['Water Polo'],['Women'],1994-11-04
1947513,True,ARMIT Elle,ARMIT E,Female,Athlete,Australia,Australia,AUS,185.0,0.0,['Water Polo'],['Women'],1991-08-20
1947514,True,PALM Gabriella,PALM G,Female,Athlete,Australia,Australia,AUS,182.0,0.0,['Water Polo'],['Women'],1998-05-20
1947515,True,LONGMAN Genevieve,LONGMAN G,Female,Athlete,Australia,Australia,AUS,175.0,0.0,['Water Polo'],['Women'],1995-10-02
1947519,True,MERCEP Jacob,MERCEP J,Male,Athlete,Australia,Australia,AUS,189.0,0.0,['Water Polo'],['Men'],1998-02-08
1947520,True,HEDGES John,HEDGES J,Male,Athlete,Australia,Australia,AUS,193.0,0.0,['Water Polo'],['Men'],1999-05-07
1947523,True,GOFERS Keesja,GOFERS K,Female,Athlete,Australia,Australia,AUS,178.0,0.0,['Water Polo'],['Women'],1990-03-16
1947524,True,EDWARDS Lachlan,EDWARDS L,Male,Athlete,Australia,Australia,AUS,196.0,0.0,['Water Polo'],['Men'],1995-02-06
1947526,True,PAVILLARD Luke,PAVILLARD L,Male,Athlete,Australia,Australia,AUS,201.0,0.0,['Water Polo'],['Men'],1996-03-13
1947527,True,BEREHULAK Marcus,BEREHULAK M,Male,Athlete,Australia,Australia,AUS,201.0,0.0,['Water Polo'],['Men'],2003-03-15
1947528,True,KEARNS Tilly,KEARNS T,Female,Athlete,Australia,Australia,AUS,175.0,0.0,['Water Polo'],['Women'],2000-10-02
1947529,True,BYRNES Matthew,BYRNES M,Male,Athlete,Australia,Australia,AUS,188.0,0.0,['Water Polo'],['Men'],2001-08-30
1947531,True,MAKSIMOVIC Milos,MAKSIMOVIC M,Male,Athlete,Australia,Australia,AUS,189.0,0.0,['Water Polo'],['Men'],1994-01-25
1947532,True,POWER Nathan,POWER N,Male,Athlete,Australia,Australia,AUS,200.0,0.0,['Water Polo'],['Men'],1993-02-13
1947534,True,PORTER Nic,PORTER N,Male,Athlete,Australia,Australia,AUS,201.0,0.0,['Water Polo'],['Men'],1998-06-23
1947540,True,GREEN Sienna,GREEN S,Female,Athlete,Australia,Australia,AUS,193.0,0.0,['Water Polo'],['Women'],2004-11-01
1947541,True,HEARN Sienna,HEARN S,Female,Athlete,Australia,Australia,AUS,174.0,0.0,['Water Polo'],['Women'],2002-07-16
1947546,True,ARANCINI Zoe,ARANCINI Z,Female,Athlete,Australia,Australia,AUS,170.0,0.0,['Water Polo'],['Women'],1991-07-14
1947558,True,GARDASEVIC Milica,GARDASEVIC M,Female,Athlete,Serbia,Serbia,SRB,176.0,0.0,['Athletics'],[Women's Long Jump],1998-09-28
1947563,True,SPANOVIC Ivana,SPANOVIC I,Female,Athlete,Serbia,Serbia,SRB,178.0,0.0,['Athletics'],[Women's Long Jump],1990-05-10
1947565,True,TOPIC Angelina,TOPIC A,Female,Athlete,Serbia,Serbia,SRB,176.0,0.0,['Athletics'],[Women's High Jump],2005-07-26
1947566,True,VILAGOS Adriana,VILAGOS A,Female,Athlete,Serbia,Serbia,SRB,178.0,0.0,['Athletics'],[Women's Javelin Throw],2004-01-02
1947569,True,BIBIC Elzan,BIBIC E,Male,Athlete,Serbia,Serbia,SRB,198.0,0.0,['Athletics'],[Men's 5000m],1999-01-08
1947576,True,SINANCEVIC Armin,SINANCEVIC A,Male,Athlete,Serbia,Serbia,SRB,193.0,0.0,['Athletics'],[Men's Shot Put],1996-08-14
1947656,True,BRANKOVIC Marko,BRANKOVIC M,Male,Athlete,Serbia,Serbia,SRB,200.0,0.0,['3x3 Basketball'],['Men'],1994-08-12
1947658,True,MAJSTOROVIC Dejan,MAJSTOROVIC D,Male,Athlete,Serbia,Serbia,SRB,200.0,0.0,['3x3 Basketball'],['Men'],1988-04-22
1947659,True,STOJACIC Strahinja,STOJACIC S,Male,Athlete,Serbia,Serbia,SRB,198.0,0.0,['3x3 Basketball'],['Men'],1992-07-15
1947661,True,VASIC Mihailo,VASIC M,Male,Athlete,Serbia,Serbia,SRB,199.0,0.0,['3x3 Basketball'],['Men'],1993-07-20
1947736,True,JENDOUBI Mohamed Khalil,JENDOUBI MK,Male,Athlete,Tunisia,Tunisia,TUN,0.0,0.0,['Taekwondo'],['Men -58kg'],2002-06-01
1947737,True,KATOUSSI Firas,KATOUSSI F,Male,Athlete,Tunisia,Tunisia,TUN,0.0,0.0,['Taekwondo'],['Men -80kg'],1995-09-06
1947738,True,TOUMI Chaima,TOUMI C,Female,Athlete,Tunisia,Tunisia,TUN,0.0,0.0,['Taekwondo'],['Women -57kg'],2003-09-23
1947739,True,DHAHRI Ikram,DHAHRI I,Female,Athlete,Tunisia,Tunisia,TUN,0.0,0.0,['Taekwondo'],['Women -49kg'],1997-01-07
1947744,True,OKOROKOV Georgii,OKOROKOV G,Male,Athlete,Australia,Australia,AUS,0.0,0.0,['Wrestling'],[Men's Freestyle 65kg],1996-12-14
1947747,True,LAWRENCE Jayden Alexander,LAWRENCE JA,Male,Athlete,Australia,Australia,AUS,0.0,0.0,['Wrestling'],[Men's Freestyle 86kg],1994-10-06
1947761,True,POLLING Kim,POLLING K,Female,Athlete,Italy,Italy,ITA,0.0,0.0,['Judo'],"['Women -70 kg', 'Mixed Team']",1991-02-08
1947771,True,BORLEE Kevin,BORLEE K,Male,Athlete,Belgium,Belgium,BEL,180.0,0.0,['Athletics'],"[Men's 4 x 400m Relay, '4 x 400m Relay Mixed']",1988-02-22
1947874,True,ENCISO Julio,ENCISO J,Male,Athlete,Paraguay,Paraguay,PAR,168.0,0.0,['Football'],['Men'],2004-01-23
1947879,True,HLIMI Khouloud,HLIMI K,Female,Athlete,Tunisia,Tunisia,TUN,160.0,0.0,['Boxing'],[Women's 57kg],1990-02-05
1947912,True,ERIC Jelena,ERIC J,Female,Athlete,Serbia,Serbia,SRB,0.0,0.0,['Cycling Road'],[Women's Road Race],1996-01-15
1947922,True,ILIC Ognjen,ILIC O,Male,Athlete,Serbia,Serbia,SRB,0.0,0.0,['Cycling Road'],[Men's Road Race],1998-11-21
1947924,True,STURISKA Veronika Monika,STURISKA VM,Female,Athlete,Latvia,Latvia,LAT,0.0,0.0,['Cycling BMX Racing'],['Women'],2005-12-28
1947925,True,KRIGERS Kristens,KRIGERS K,Male,Athlete,Latvia,Latvia,LAT,0.0,0.0,['Cycling BMX Racing'],['Men'],1996-08-25
1947927,True,ZEBOLDS Ernests,ZEBOLDS E,Male,Athlete,Latvia,Latvia,LAT,0.0,0.0,['Cycling BMX Freestyle'],[Men's Park],1999-06-03
1947950,True,CIRKOVIC Sara,CIRKOVIC S,Female,Athlete,Serbia,Serbia,SRB,166.0,0.0,['Boxing'],[Women's 54kg],2004-04-29
1947955,True,SHADRINA Natalia,SHADRINA N,Female,Athlete,Serbia,Serbia,SRB,164.0,0.0,['Boxing'],[Women's 60kg],1990-04-21
